Asset_ID,Asset_Type,Asset_Value(in dollar),Location,Maintenance_Cost,Age,Compliance_Status,Cybersecurity_Score,Physical_Security_Score,Vendor_Risk_Score,Employee_Access_Level,Environmental_Risk,Previous_Incidents
2,Laptop,66110,Network Room C,9671,4,1,83,17,67,User,1,3 (Physical Theft)
1,Router,44383,Data Center A,14948,1,1,9,55,52,User,1,1 (Malware)
3,Server,90839,Network Room C,73941,3,0,59,50,93,Admin,3,3 (Physical Theft)
1,Laptop,20303,Data Center A,2926,5,1,47,82,57,Admin,3,2 (Data Breach)
1,Server,28122,Network Room C,18083,5,1,17,55,63,Admin,2,2 (Data Breach)
2,Router,49990,Data Center A,56015,4,0,71,58,36,User,3,3 (Physical Theft)
3,Laptop,56912,Data Center A,85223,4,0,90,95,51,User,1,2 (Data Breach)
1,Router,55609,Office B,51713,4,0,86,4,89,Admin,2,2 (Data Breach)
3,Server,76173,Data Center A,76201,2,0,57,20,33,User,1,1 (Malware)
3,Router,11123,Network Room C,15847,0,1,13,16,79,User,2,1 (Malware)
1,Server,66482,Data Center A,55134,3,1,49,59,33,User,2,1 (Malware)
2,Server,78418,Data Center A,23432,1,0,62,10,87,User,2,1 (Malware)
2,Server,39367,Office B,78385,6,0,94,24,24,Admin,3,2 (Data Breach)
1,Server,28580,Network Room C,53669,4,0,32,55,31,User,1,2 (Data Breach)
1,Router,90012,Office B,78515,0,1,33,15,64,Admin,2,2 (Data Breach)
1,Laptop,85273,Network Room C,44959,10,1,54,19,71,User,3,0
3,Laptop,77453,Data Center A,55429,5,1,12,20,22,User,2,2 (Data Breach)
2,Laptop,9777,Data Center A,94730,8,1,21,48,98,Admin,2,2 (Data Breach)
3,Server,60754,Data Center A,85832,9,1,65,29,75,User,3,1 (Malware)
1,Server,35872,Network Room C,61406,2,0,100,20,8,User,2,1 (Malware)
2,Server,81764,Network Room C,69710,2,0,64,70,54,User,3,1 (Malware)
1,Server,37260,Office B,9932,7,0,48,61,95,Admin,3,3 (Physical Theft)
2,Laptop,13741,Data Center A,85503,2,0,40,25,2,User,2,1 (Malware)
2,Laptop,71696,Network Room C,10864,7,1,37,16,87,Admin,1,0
3,Server,88291,Office B,72889,8,0,47,5,10,User,1,3 (Physical Theft)
1,Server,37650,Office B,98066,9,0,9,8,63,Admin,3,3 (Physical Theft)
1,Laptop,99294,Office B,42464,6,0,58,66,82,Admin,3,3 (Physical Theft)
3,Laptop,60143,Office B,94321,0,0,74,92,17,Admin,1,0
1,Laptop,3148,Office B,54933,3,1,3,1,70,Admin,1,3 (Physical Theft)
2,Server,26301,Office B,3309,10,1,22,58,81,Admin,2,3 (Physical Theft)
1,Router,24388,Network Room C,75919,6,0,89,93,0,User,2,0
1,Laptop,17393,Network Room C,16636,4,0,86,79,71,User,1,3 (Physical Theft)
2,Router,59108,Office B,77980,6,0,97,88,12,User,3,1 (Malware)
3,Server,75634,Office B,59451,2,1,79,87,55,Admin,3,0
2,Laptop,37355,Office B,9023,5,0,52,41,61,User,3,2 (Data Breach)
1,Router,114,Data Center A,76032,0,0,55,97,2,Admin,3,0
3,Laptop,99250,Data Center A,4392,9,0,46,47,16,Admin,3,2 (Data Breach)
1,Laptop,63000,Data Center A,78886,5,0,11,71,57,User,3,2 (Data Breach)
2,Router,96481,Office B,96865,7,1,96,49,59,Admin,3,0
1,Laptop,10126,Network Room C,40358,8,1,95,45,12,User,2,3 (Physical Theft)
3,Router,34319,Office B,32811,2,1,56,7,57,Admin,1,1 (Malware)
1,Router,90563,Network Room C,431,9,1,64,44,21,User,3,0
2,Router,9039,Office B,32195,3,1,61,26,19,Admin,3,0
1,Laptop,43573,Data Center A,59383,7,1,88,44,64,User,3,0
1,Server,28314,Office B,15806,6,0,43,21,36,Admin,2,0
1,Laptop,42158,Network Room C,50574,8,1,72,23,41,Admin,2,0
2,Server,82024,Office B,68580,3,1,43,47,1,Admin,3,1 (Malware)
2,Server,62603,Office B,56258,5,0,73,33,45,User,3,2 (Data Breach)
1,Server,93276,Network Room C,79436,8,0,77,4,82,Admin,3,3 (Physical Theft)
3,Laptop,48363,Data Center A,7648,0,0,18,88,83,User,2,0
2,Server,66742,Data Center A,92576,7,0,9,68,98,Admin,3,2 (Data Breach)
2,Server,50514,Network Room C,98810,5,1,3,41,33,Admin,3,0
2,Server,74839,Data Center A,21328,3,1,50,62,73,Admin,3,3 (Physical Theft)
3,Router,45749,Network Room C,50988,10,0,11,45,25,User,1,1 (Malware)
3,Router,24551,Office B,16296,7,0,100,69,2,User,2,2 (Data Breach)
2,Server,94140,Data Center A,81658,10,1,66,95,41,User,3,1 (Malware)
1,Laptop,64377,Network Room C,94510,9,1,89,32,66,User,2,0
2,Router,96455,Data Center A,40806,9,1,15,85,96,User,1,3 (Physical Theft)
1,Server,12807,Network Room C,45268,7,0,33,53,34,User,1,3 (Physical Theft)
2,Router,73496,Data Center A,77528,6,0,89,86,84,User,2,0
2,Server,45380,Data Center A,17455,0,0,89,61,74,Admin,1,2 (Data Breach)
1,Server,59299,Office B,1655,8,0,90,2,11,Admin,2,0
3,Laptop,96347,Data Center A,62060,9,1,46,14,3,User,1,2 (Data Breach)
2,Server,65783,Data Center A,89248,4,1,54,73,65,Admin,1,3 (Physical Theft)
3,Laptop,59246,Data Center A,55273,4,0,100,69,44,Admin,2,1 (Malware)
2,Laptop,47504,Office B,52943,9,1,11,83,17,User,2,0
3,Router,5987,Office B,12080,3,1,24,44,28,Admin,2,2 (Data Breach)
1,Laptop,67253,Office B,19492,4,1,10,94,15,Admin,1,3 (Physical Theft)
3,Server,49989,Office B,30293,2,1,66,19,21,Admin,3,3 (Physical Theft)
3,Router,30124,Network Room C,66979,4,1,8,27,30,Admin,1,3 (Physical Theft)
3,Server,48219,Data Center A,82453,2,0,10,82,31,Admin,1,1 (Malware)
2,Server,27172,Data Center A,8576,0,1,70,78,22,Admin,1,3 (Physical Theft)
1,Router,33044,Network Room C,57077,1,1,35,3,97,Admin,1,1 (Malware)
3,Server,73776,Office B,53314,7,1,55,81,46,Admin,2,0
3,Server,52782,Data Center A,80706,0,0,49,88,39,Admin,2,0
1,Router,86353,Network Room C,50977,0,1,66,14,99,User,2,1 (Malware)
1,Server,8029,Data Center A,9221,1,0,39,90,100,User,3,2 (Data Breach)
2,Laptop,8223,Data Center A,82571,2,1,28,56,57,Admin,3,3 (Physical Theft)
1,Server,52757,Data Center A,50831,3,0,100,44,14,Admin,1,2 (Data Breach)
3,Server,86083,Network Room C,8628,0,0,39,77,32,Admin,1,2 (Data Breach)
3,Laptop,71737,Network Room C,53232,4,1,60,83,63,User,1,2 (Data Breach)
3,Laptop,43214,Data Center A,39588,7,1,13,81,15,Admin,1,1 (Malware)
1,Router,90746,Data Center A,62261,0,1,43,1,95,Admin,1,1 (Malware)
1,Server,85609,Office B,90830,9,0,80,21,0,Admin,1,3 (Physical Theft)
2,Laptop,4824,Network Room C,47954,1,0,37,49,41,Admin,2,3 (Physical Theft)
1,Router,88723,Data Center A,2056,5,1,28,80,6,User,1,0
2,Server,37386,Data Center A,34229,2,1,33,91,4,User,2,3 (Physical Theft)
3,Laptop,67990,Network Room C,63466,1,0,72,26,20,User,3,2 (Data Breach)
1,Server,65271,Network Room C,17909,8,0,70,95,19,User,1,0
3,Router,32099,Office B,45007,8,1,40,22,24,User,3,0
3,Laptop,21682,Network Room C,21008,9,1,85,90,64,User,2,1 (Malware)
2,Laptop,52696,Network Room C,57349,6,1,67,80,28,Admin,2,1 (Malware)
2,Server,43691,Network Room C,33752,7,0,73,5,3,Admin,2,2 (Data Breach)
3,Server,82351,Office B,11463,2,1,54,66,79,Admin,3,1 (Malware)
3,Router,6530,Network Room C,97649,2,0,60,4,76,User,3,2 (Data Breach)
1,Router,88653,Network Room C,10523,1,1,48,65,32,Admin,2,1 (Malware)
1,Server,81113,Network Room C,58726,3,1,84,77,82,Admin,1,1 (Malware)
1,Server,93114,Network Room C,96265,5,1,93,39,17,Admin,3,3 (Physical Theft)
2,Server,11336,Data Center A,3001,3,0,57,2,78,User,3,2 (Data Breach)
3,Server,31051,Network Room C,9152,1,0,75,98,24,Admin,2,2 (Data Breach)
3,Router,56632,Office B,70530,7,1,8,13,96,Admin,1,0
3,Server,81955,Data Center A,13165,8,0,81,87,36,User,1,0
1,Laptop,78775,Network Room C,37864,6,0,54,70,91,Admin,2,3 (Physical Theft)
2,Router,81634,Data Center A,17074,7,1,88,50,30,User,1,2 (Data Breach)
3,Router,57845,Network Room C,7620,10,0,21,73,47,Admin,2,0
2,Server,36699,Network Room C,77992,4,0,65,77,93,User,2,1 (Malware)
2,Laptop,81379,Office B,69688,2,1,28,29,11,User,1,1 (Malware)
2,Server,55960,Office B,71048,4,0,10,47,9,Admin,1,1 (Malware)
2,Router,89033,Office B,73689,10,1,68,53,10,User,1,0
3,Laptop,44679,Data Center A,20759,0,1,5,98,70,User,1,2 (Data Breach)
1,Laptop,44843,Office B,10324,6,0,25,27,27,Admin,3,0
3,Server,24405,Network Room C,35976,1,1,83,72,83,User,2,2 (Data Breach)
3,Laptop,67421,Network Room C,58459,7,1,49,77,14,User,3,3 (Physical Theft)
3,Router,63392,Data Center A,5179,7,1,64,55,23,User,3,1 (Malware)
2,Router,5839,Network Room C,26745,1,1,1,37,65,Admin,3,2 (Data Breach)
2,Server,80423,Office B,30606,10,1,59,52,66,Admin,2,3 (Physical Theft)
2,Router,14180,Office B,14792,6,0,26,18,46,User,2,3 (Physical Theft)
2,Server,83287,Office B,80377,0,1,79,35,60,Admin,3,0
3,Router,3743,Data Center A,82542,3,0,9,3,67,User,2,2 (Data Breach)
2,Server,41383,Office B,51386,4,1,70,39,94,User,1,2 (Data Breach)
1,Laptop,94193,Data Center A,55158,4,0,64,65,68,User,2,3 (Physical Theft)
3,Server,96121,Network Room C,54989,4,0,5,8,2,User,3,2 (Data Breach)
3,Router,39481,Network Room C,28420,6,1,63,13,93,User,3,0
1,Server,1916,Data Center A,47857,1,1,77,55,18,Admin,3,3 (Physical Theft)
1,Server,43878,Data Center A,64770,1,0,6,94,48,Admin,3,2 (Data Breach)
1,Laptop,77142,Office B,56533,8,0,71,50,34,User,1,3 (Physical Theft)
1,Server,72633,Network Room C,982,5,0,51,72,6,Admin,3,0
2,Router,22864,Network Room C,95110,0,0,21,11,26,Admin,1,2 (Data Breach)
2,Router,22282,Data Center A,77453,4,1,11,49,50,Admin,1,1 (Malware)
3,Router,26727,Data Center A,37983,5,0,55,67,70,Admin,3,0
3,Router,8084,Data Center A,83862,2,1,79,59,73,User,3,0
2,Laptop,75413,Data Center A,79619,6,1,45,96,26,Admin,1,3 (Physical Theft)
1,Server,86387,Network Room C,12300,5,1,95,97,2,Admin,3,2 (Data Breach)
1,Router,24171,Office B,52042,7,0,81,4,82,Admin,2,3 (Physical Theft)
1,Router,6505,Data Center A,7341,0,0,52,17,76,Admin,3,2 (Data Breach)
3,Laptop,10787,Office B,4777,1,0,5,20,63,Admin,3,0
3,Laptop,1068,Network Room C,19809,2,0,24,5,39,Admin,3,3 (Physical Theft)
2,Router,49272,Data Center A,8550,8,1,17,42,91,Admin,3,1 (Malware)
1,Laptop,33192,Network Room C,75652,4,1,68,19,12,User,2,0
3,Router,76039,Data Center A,5624,6,0,6,95,19,Admin,1,3 (Physical Theft)
1,Laptop,48101,Office B,67844,5,1,23,10,91,Admin,2,2 (Data Breach)
1,Server,94844,Data Center A,14387,5,1,39,100,10,User,1,0
3,Server,71436,Data Center A,44064,9,1,77,9,95,User,2,1 (Malware)
2,Server,6168,Network Room C,40702,6,0,10,99,81,User,3,0
3,Server,24562,Office B,21239,8,1,51,43,7,Admin,2,1 (Malware)
3,Router,13524,Office B,68243,1,1,13,27,70,Admin,2,0
1,Server,62758,Office B,80757,7,1,7,86,79,User,2,2 (Data Breach)
3,Router,46080,Network Room C,36790,9,0,37,43,77,Admin,3,1 (Malware)
3,Router,59518,Network Room C,20605,0,0,13,21,91,User,2,1 (Malware)
3,Router,73338,Office B,5812,10,0,34,6,47,User,1,2 (Data Breach)
1,Server,43582,Network Room C,27317,10,1,11,18,40,User,1,1 (Malware)
3,Router,27895,Office B,30471,1,0,27,70,100,User,1,3 (Physical Theft)
3,Laptop,39649,Network Room C,11883,2,0,67,16,69,Admin,1,0
1,Server,81460,Office B,2162,7,1,46,49,35,Admin,3,0
2,Router,71066,Office B,8288,9,0,49,29,58,User,3,3 (Physical Theft)
3,Laptop,93386,Data Center A,15477,8,0,55,18,60,User,3,2 (Data Breach)
1,Router,47197,Network Room C,45423,7,1,65,14,46,Admin,3,0
1,Laptop,29217,Network Room C,58689,6,0,22,70,88,Admin,1,3 (Physical Theft)
1,Router,91114,Data Center A,78422,2,0,22,80,98,Admin,2,3 (Physical Theft)
2,Router,67937,Network Room C,6780,3,1,67,69,67,User,2,0
1,Laptop,82722,Network Room C,51350,5,1,86,19,33,User,2,2 (Data Breach)
2,Laptop,36539,Office B,44764,6,0,53,37,56,User,3,0
1,Laptop,5099,Network Room C,56174,3,1,22,13,78,User,2,2 (Data Breach)
1,Server,35553,Data Center A,85613,3,1,96,68,44,Admin,2,2 (Data Breach)
2,Laptop,25163,Office B,59339,4,1,76,4,69,User,3,0
3,Router,85390,Network Room C,69265,3,1,75,23,37,User,1,3 (Physical Theft)
3,Router,87501,Office B,59713,9,0,46,93,5,Admin,3,3 (Physical Theft)
1,Laptop,88284,Network Room C,98730,5,1,43,13,69,Admin,1,1 (Malware)
1,Laptop,23173,Office B,35956,6,1,4,96,47,Admin,3,2 (Data Breach)
3,Router,17788,Data Center A,32181,0,0,81,34,92,User,3,1 (Malware)
3,Laptop,53812,Office B,6183,1,0,17,4,40,Admin,3,2 (Data Breach)
1,Laptop,58110,Data Center A,89956,4,1,13,66,60,Admin,2,0
1,Laptop,58021,Network Room C,55963,6,0,63,47,99,User,2,1 (Malware)
1,Laptop,77159,Network Room C,61483,7,0,11,4,60,Admin,1,0
3,Laptop,7295,Office B,96663,6,1,54,74,18,Admin,3,1 (Malware)
3,Laptop,41090,Network Room C,35964,4,0,39,51,36,Admin,1,0
1,Router,36893,Data Center A,92730,4,1,36,7,49,User,1,1 (Malware)
3,Laptop,62624,Network Room C,79159,0,0,55,50,100,Admin,2,2 (Data Breach)
3,Router,20825,Data Center A,95344,5,1,50,41,50,User,1,2 (Data Breach)
3,Server,44077,Network Room C,81365,0,0,13,39,75,User,1,0
1,Server,2101,Data Center A,41901,1,0,27,11,64,Admin,3,2 (Data Breach)
1,Server,60505,Data Center A,14131,4,0,0,17,76,Admin,1,1 (Malware)
1,Server,57296,Data Center A,54152,5,0,90,17,2,User,1,3 (Physical Theft)
1,Server,35337,Network Room C,26552,9,0,62,29,94,Admin,3,2 (Data Breach)
1,Laptop,59981,Office B,49292,7,1,33,7,45,User,1,2 (Data Breach)
3,Laptop,41338,Network Room C,15580,6,1,24,8,95,User,3,0
3,Router,94131,Network Room C,97833,2,1,66,11,24,User,3,2 (Data Breach)
3,Router,41482,Data Center A,31296,1,0,42,37,61,User,3,0
1,Laptop,68139,Network Room C,31553,0,0,88,9,52,Admin,3,0
3,Router,83754,Network Room C,21694,8,1,72,28,30,User,3,3 (Physical Theft)
3,Router,87203,Office B,45874,8,1,25,70,96,User,3,2 (Data Breach)
2,Router,64109,Data Center A,50794,7,1,15,98,92,User,2,1 (Malware)
2,Router,5158,Data Center A,37598,6,1,90,39,22,User,1,1 (Malware)
3,Laptop,4881,Data Center A,60192,7,1,72,57,47,User,1,2 (Data Breach)
1,Router,61612,Data Center A,89798,6,1,45,84,20,Admin,3,3 (Physical Theft)
1,Router,41016,Office B,30451,5,1,0,77,43,Admin,2,0
2,Router,13059,Network Room C,30097,2,1,9,53,98,User,2,0
3,Server,14034,Office B,70954,4,0,65,10,47,Admin,1,1 (Malware)
2,Server,43730,Office B,82133,2,0,14,1,79,User,1,0
3,Laptop,60585,Network Room C,87275,5,0,88,78,66,Admin,3,3 (Physical Theft)
3,Server,48557,Data Center A,67122,8,1,69,37,2,User,1,2 (Data Breach)
1,Laptop,62388,Network Room C,94812,6,0,6,45,11,Admin,3,3 (Physical Theft)
3,Router,75277,Data Center A,15642,2,1,83,44,67,Admin,3,0
1,Laptop,20662,Office B,1038,10,0,59,94,40,User,1,1 (Malware)
2,Router,74407,Office B,45782,2,1,40,98,43,User,1,2 (Data Breach)
1,Laptop,62903,Data Center A,13104,1,0,68,19,22,User,3,1 (Malware)
2,Laptop,68203,Data Center A,3526,2,0,27,56,36,User,2,1 (Malware)
1,Laptop,90328,Office B,56300,5,0,61,5,19,Admin,2,1 (Malware)
3,Laptop,45605,Data Center A,564,5,1,71,59,8,User,2,1 (Malware)
3,Server,5448,Network Room C,90024,6,1,30,22,22,User,1,2 (Data Breach)
1,Laptop,59974,Office B,5473,2,0,75,37,43,Admin,3,2 (Data Breach)
3,Server,57758,Network Room C,43435,9,1,42,82,21,User,2,2 (Data Breach)
2,Laptop,8943,Data Center A,19757,9,1,73,38,82,Admin,1,3 (Physical Theft)
2,Laptop,29157,Network Room C,2811,5,1,62,23,21,User,3,3 (Physical Theft)
2,Server,26935,Data Center A,37482,5,1,94,10,5,User,3,1 (Malware)
1,Router,59130,Network Room C,58881,2,0,67,8,20,User,3,3 (Physical Theft)
1,Server,68192,Data Center A,59081,1,0,36,84,50,Admin,1,1 (Malware)
3,Server,26102,Data Center A,96877,7,1,58,73,34,Admin,3,1 (Malware)
1,Router,4650,Office B,25095,9,0,25,24,19,Admin,3,2 (Data Breach)
2,Laptop,69443,Data Center A,4270,2,0,91,100,28,Admin,3,3 (Physical Theft)
3,Router,46358,Network Room C,64250,5,0,58,40,56,User,1,0
3,Server,94835,Data Center A,2799,4,1,75,74,7,Admin,3,1 (Malware)
1,Router,18490,Network Room C,77969,3,0,25,91,31,Admin,2,1 (Malware)
3,Router,77390,Network Room C,29184,2,1,59,28,25,User,1,2 (Data Breach)
2,Server,59454,Data Center A,50564,8,1,54,43,31,Admin,3,0
1,Server,50364,Data Center A,66413,1,1,90,85,7,Admin,2,1 (Malware)
3,Server,95014,Data Center A,88772,2,1,80,30,71,User,3,2 (Data Breach)
3,Router,78730,Office B,43045,5,0,88,57,49,User,2,3 (Physical Theft)
3,Router,25195,Office B,98150,6,0,57,61,6,User,3,1 (Malware)
2,Server,20526,Data Center A,70666,7,0,76,59,74,User,2,1 (Malware)
1,Laptop,29537,Network Room C,23448,6,1,71,31,10,Admin,3,1 (Malware)
1,Router,69845,Network Room C,81188,9,1,92,36,23,Admin,1,3 (Physical Theft)
1,Laptop,27317,Network Room C,88003,9,1,7,60,3,User,3,2 (Data Breach)
2,Router,99046,Data Center A,65504,6,0,0,84,38,User,1,2 (Data Breach)
3,Server,60586,Office B,31001,3,0,1,12,26,User,2,1 (Malware)
2,Laptop,52010,Network Room C,74048,10,1,19,27,1,User,2,2 (Data Breach)
1,Server,91625,Data Center A,27013,4,0,39,49,2,User,3,0
2,Router,58298,Office B,18921,8,1,64,37,6,User,1,3 (Physical Theft)
3,Server,29025,Network Room C,66054,8,0,90,100,3,User,2,2 (Data Breach)
3,Server,1194,Network Room C,69621,0,1,85,75,48,User,1,1 (Malware)
1,Router,63063,Data Center A,3929,10,1,92,17,63,Admin,3,3 (Physical Theft)
3,Server,73610,Office B,70111,9,0,27,96,16,Admin,1,3 (Physical Theft)
1,Server,44112,Network Room C,30923,2,0,51,24,47,User,2,0
3,Server,12830,Data Center A,87939,2,0,61,60,17,User,1,1 (Malware)
2,Server,95713,Network Room C,29492,9,0,97,89,35,User,1,1 (Malware)
2,Router,40806,Network Room C,77205,5,1,32,92,92,User,3,1 (Malware)
1,Laptop,99860,Office B,39779,10,0,13,37,38,Admin,2,0
2,Server,72269,Data Center A,49318,2,1,14,27,62,Admin,2,1 (Malware)
3,Laptop,21034,Data Center A,25045,8,0,97,7,4,Admin,2,0
3,Server,89863,Office B,97859,10,0,22,42,58,User,3,3 (Physical Theft)
1,Server,70807,Network Room C,32631,1,1,97,89,12,Admin,2,3 (Physical Theft)
3,Router,72319,Network Room C,76426,7,1,42,55,2,User,2,2 (Data Breach)
2,Router,60746,Data Center A,32851,2,1,84,76,28,User,3,2 (Data Breach)
1,Server,78789,Office B,45026,9,1,84,29,6,Admin,1,1 (Malware)
3,Server,29807,Data Center A,75316,3,0,7,85,56,Admin,1,3 (Physical Theft)
1,Laptop,66291,Data Center A,31412,5,0,28,86,8,User,2,0
1,Router,88228,Data Center A,53184,0,1,70,35,47,Admin,3,0
1,Laptop,18145,Office B,57044,0,1,41,99,46,User,2,1 (Malware)
1,Router,18010,Data Center A,28441,4,0,72,10,31,User,3,1 (Malware)
